Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Anthony Edwards,19,72,2314,13.9,0.523,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27,,-0.6,1.4,0.8,0.017,,-0.4,-1.7,-2.1,-0.1
2,Ricky Rubio,30,68,1772,13.5,0.516,0.43,0.301,1.6,12.4,6.8,33.3,2.6,0.2,16.4,16,,1.9,1.3,3.1,0.085,,-1.9,0,-1.9,0
3,Karl-Anthony Towns,25,50,1689,23.1,0.612,0.36,0.355,8.2,26.4,17,22.6,1.1,2.9,13.7,29.1,,3.8,1.6,5.4,0.153,,4.3,0.2,4.5,2.8
4,Jaden McDaniels,20,63,1511,8.9,0.552,0.54,0.123,3.6,13.4,8.3,6.4,1.1,3.4,10.8,12,,0.5,0.9,1.4,0.046,,-3.3,-0.2,-3.5,-0.6
5,Naz Reid,21,70,1347,18.2,0.599,0.299,0.286,6.4,20,12.9,8.7,1.2,4.9,9.5,22.5,,1.9,1.3,3.2,0.113,,-0.1,-0.2,-0.2,0.6
6,Malik Beasley,24,37,1214,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24,,0.9,0.4,1.3,0.053,,1.6,-1.8,-0.2,0.6
7,Josh Okogie,22,59,1197,9.1,0.524,0.425,0.425,5.5,8.7,7.1,7,2.1,2,12.5,12.1,,0.5,0.8,1.3,0.051,,-3.7,0.3,-3.3,-0.4
8,D'Angelo Russell,24,42,1196,17.6,0.555,0.475,0.229,1.4,8.9,5,33.6,1.8,1.3,13.5,29.1,,1,0.6,1.6,0.063,,3.3,-1.7,1.6,1.1
9,Jarred Vanderbilt,21,64,1139,16.2,0.612,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,,1.6,1.5,3.1,0.132,,-1.4,1.4,-0.1,0.5
10,Jordan McLaughlin,24,51,938,12,0.502,0.38,0.124,2.3,10.4,6.2,28,2.6,0.6,16.7,13.7,,0.6,0.6,1.2,0.062,,-2,0.2,-1.7,0.1
11,Juancho Hernangómez,25,52,900,12.1,0.549,0.562,0.324,5.2,20,12.3,5.6,1,0.7,7.3,17.2,,0.6,0.5,1.1,0.06,,-1.1,-1.8,-2.9,-0.2
12,Jaylen Nowell,21,42,759,12.3,0.528,0.448,0.164,2.6,11.3,6.8,12.5,1.4,1.4,7.2,21.4,,0.3,0.4,0.7,0.044,,-1.5,-1.4,-2.8,-0.2
13,Jake Layman,26,45,627,11.4,0.577,0.424,0.201,2.2,9.7,5.8,6.4,2.2,2.6,11.5,15.1,,0.2,0.5,0.7,0.051,,-2.2,0.2,-2.1,0
14,Jarrett Culver,21,34,499,8.8,0.476,0.315,0.286,7.1,15.8,11.3,6.8,1.6,1.6,12.9,18.2,,-0.4,0.3,-0.1,-0.006,,-4.5,-1.1,-5.6,-0.5
15,Ed Davis,31,23,299,13.1,0.487,0,0.273,16.1,26,20.8,9,2.1,3.8,12.4,7.9,,0.5,0.4,0.8,0.135,,-3.3,1.1,-2.2,0
16,Ashton Hagans,21,2,4,-12.4,,,,0,0,0,0,0,0,100,10.5,,0,0,0,-0.353,,-13.7,-7.4,-21.1,0
